DATE,Colorado,Puerto_Libre,21230120,23060260,23065120,23060200,23060190
1/1/2000,1.86,,0,3.2,1,6.3,1
1/2/2000,1.72,1.53,0,0,0,0,
1/3/2000,1.65,,0,1,1,3.4,
1/4/2000,,1.74,0,0,1,2.5,
1/5/2000,,,0,0,3.5,2.9,
1/6/2000,,,0,0,0,34.5,
1/7/2000,2.47,,0,1.3,6.5,3.3,
1/8/2000,,1.685,0,0,6.5,30.4,
1/9/2000,1.945,1.525,0,0,1,4.1,
1/10/2000,,1.485,0,0,16,3.9,
1/11/2000,,1.5,0,5.5,2.7,53.1,
1/12/2000,2.8,1.81,4.4,2.2,0,0,
1/13/2000,2.06,1.685,0,0,0,0,
1/14/2000,1.71,1.485,0,0,2.7,0,
1/15/2000,,1.455,0,0,3.7,0,
1/16/2000,,1.4,0,0,0,0,
1/17/2000,1.58,1.395,0,21.5,2,18.6,
1/18/2000,,1.32,0,0,0,0,
1/19/2000,,1.49,0,0,0,1.5,
1/20/2000,1.54,1.32,0,0,1.8,0,
1/21/2000,1.52,1.3,0,1,0,0,
1/22/2000,,1.255,0,0,0,0,
1/23/2000,,1.195,0,0,0,0,
1/24/2000,,1.17,0,30.5,0,0,
1/25/2000,1.8,1.15,0,16,5,3.2,
1/26/2000,2.02,1.465,0,13.9,8,4.3,
1/27/2000,1.84,1.6,4.8,0.5,4,0,
1/28/2000,1.71,1.47,0,0,22,2.7,
1/29/2000,1.72,1.41,0,0,,0,
1/30/2000,1.84,1.36,18.9,7.8,2.7,1.2,
1/31/2000,1.81,1.405,0,0,0,0,
2/1/2000,1.69,1.465,0,0,0,0,
2/2/2000,1.81,1.455,0,0,0,0,
2/3/2000,1.92,1.6,6,0,1,0,
2/4/2000,1.68,1.425,11.8,0,0,0,
2/5/2000,2.12,1.345,3.4,11.5,1.2,18.6,
2/6/2000,1.64,1.51,0,1.7,0,0,
2/7/2000,1.6,1.33,0,0,0,0,
2/8/2000,1.54,1.24,1.2,18.7,3.5,1.2,
2/9/2000,1.55,1.37,5.7,8.8,4.2,9.6,
2/10/2000,1.61,1.7,0,4.7,2,0.9,
2/11/2000,1.81,,0,0,16,15,
2/12/2000,1.8,,0,0,1,0,
2/13/2000,1.66,,0,0,1.5,8.8,
2/14/2000,1.61,1.49,0,1.6,5.8,17.1,
2/15/2000,1.51,,0,0,1,0,
2/16/2000,1.73,,0,17.5,1.5,0,
2/17/2000,2.04,2.08,0,0,5,38.2,
2/18/2000,1.92,,0,0,4.3,64,
2/19/2000,2.17,,0,0,3,13.1,
2/20/2000,1.96,,0,11.2,22.5,14.7,
2/21/2000,2.21,,0,0,2.3,10,
2/22/2000,2.01,1.94,6.7,8.5,14,24.9,
2/23/2000,2.41,,11.4,20,2,0.7,
2/24/2000,2.04,,17.6,3.6,7.3,20,
2/25/2000,2.21,,0,1.2,41,10,
2/26/2000,2.35,2.24,9.3,83,2.3,9.2,
2/27/2000,2.59,2.86,5.7,16.5,9.7,22.5,
2/28/2000,2.65,2.52,25.8,17.5,17.5,28.2,
2/29/2000,3,,0,2.5,1.2,1.1,0
3/1/2000,2.39,,5.2,14.3,1,0,13.9
3/2/2000,2.21,2.1,0,2,0,0,6
3/3/2000,2.41,,0,0,0,0,0
3/4/2000,2.07,,0,0,0,0.5,0
3/5/2000,2.16,,1.8,0,0,0,4.5
3/6/2000,2.39,,8.5,23.7,1,4.2,3.7
3/7/2000,2.28,,0,0,15,14.9,0
3/8/2000,2.29,2.06,1,3.4,3.5,4.5,9.6
3/9/2000,2.05,2.07,1.8,4,19.3,12.9,0
3/10/2000,2.16,,5,0,0,0,0
3/11/2000,1.86,,0,10,0,0,6.5
3/12/2000,1.93,2.02,22.9,2.5,0,20,0
3/13/2000,2.19,,12.9,4.5,9.7,10,0
3/14/2000,2.09,,0,0.5,14,18.9,14.7
3/15/2000,2.28,2.135,0,0,0,0,1.7
3/16/2000,2.1,,0,11,0,8.3,11.5
3/17/2000,2.21,,0,2,17,20,0
3/18/2000,2.03,,0,2.5,27,12,0
3/19/2000,2.37,2.54,0,1,17.5,6.5,0
3/20/2000,2.25,2.17,8.5,18.5,22.5,13.8,3.3
3/21/2000,2.11,2,3.6,9,6.5,14.6,18
3/22/2000,2.33,,0,0,2.8,2.1,12
3/23/2000,2.38,2.18,1.8,3.4,19,2.1,0
3/24/2000,2.48,2.06,18.2,0,35.8,30,0
3/25/2000,2.55,,8.6,0,,2.2,0
3/26/2000,2.55,,4.2,21.6,9.8,14.1,20.5
3/27/2000,2.44,2.05,9.4,63.5,8.3,11.6,0
3/28/2000,2.4,2.14,0,0,0,0,6.2
3/29/2000,2.1,1.98,0,0,0,0,0
3/30/2000,2.05,,0,21,9,16.2,0
3/31/2000,2.13,2.08,0,0,0,0,1.4
4/1/2000,1.9,1.84,0,0,0,0,0
4/2/2000,2.19,,0,6.7,0,0,0
4/3/2000,1.85,,2.3,5.5,9.7,32,0
4/4/2000,2.51,,17.7,2.2,,8.1,0
4/5/2000,2.35,,27.5,55,19.5,10,7.8
4/6/2000,2.95,,0,0,0,0,1.1
4/7/2000,2.19,,0,0,0,0,0
4/8/2000,2.11,,0,2,0,0,0
4/9/2000,1.94,1.9,0,3.7,0,2.6,0
4/10/2000,1.94,1.87,0,8.5,0,0,4.6
4/11/2000,2.55,2.25,1.8,0,0,1.1,0
4/12/2000,2.11,,9.1,27.5,0,10,0
4/13/2000,2.3,,0,25,25,11.4,0
4/14/2000,2.8,,1.6,36.6,,0,0
4/15/2000,2.84,,8.3,11,,15,31.9
4/16/2000,2.28,2.08,2.7,31.5,,6.6,14
4/17/2000,2.47,,0,1.5,8,16,0
4/18/2000,2.36,2.66,0,0,1,0,0
4/19/2000,2.91,,50,5.5,0,0,1.9
4/20/2000,2.47,,0,2.5,0,0,0
4/21/2000,2.32,,0,1,0,0,0
4/22/2000,2.55,,0,0,14,0,23.2
4/23/2000,2.19,,0,0,,0,0
4/24/2000,2.17,,2.6,0,1,0.4,0
4/25/2000,1.9,,0,0,0,0,0
4/26/2000,1.99,2.02,0,2.3,0,0.3,0
4/27/2000,1.86,,0,0,0,0,0
4/28/2000,1.77,1.81,0,0,0,0,2.2
4/29/2000,1.65,,0,0,0,0,0
4/30/2000,1.74,1.69,3.3,0,0,12.3,1.5
5/1/2000,1.74,,9.7,18.6,21.7,18.2,0
5/2/2000,1.91,1.95,10.5,0,0,3.6,0
5/3/2000,1.79,1.92,0,3.1,0,1.6,0
5/4/2000,1.86,1.79,0,0,0.4,0.5,0
5/5/2000,1.69,,3,68,24,9.2,2.2
5/6/2000,2.55,2.59,0,0,0,0,0
5/7/2000,1.79,1.93,0,0,1.9,0,0
5/8/2000,1.82,4.05,0,4.5,0,0.1,0
5/9/2000,1.69,2.24,0,0,1,0,0
5/10/2000,1.59,,0,2.2,10,0,10.8
5/11/2000,1.56,,2.4,18,24,8.7,0
5/12/2000,1.67,2.54,0,1.5,0,0,0
5/13/2000,1.73,2.12,1.2,0,7,0,0
5/14/2000,1.7,,2.2,3.2,4.5,14.9,0
5/15/2000,1.9,,0,0,0,17.7,0
5/16/2000,1.69,2.73,0,14.4,0,0,32.7
5/17/2000,2.2,2.89,10,0,17.6,0.4,0
5/18/2000,1.93,2.2,10.4,5.4,5.3,1.3,0
5/19/2000,2.09,,0,4.3,8.9,13.7,1.5
5/20/2000,1.93,,0,2,0,0,0
5/21/2000,1.965,2.12,2.4,0,1.2,4.2,0
5/22/2000,1.72,2.05,0,7.5,0,1.9,3.4
5/23/2000,2,,0,0,6.3,0,0
5/24/2000,1.74,,0,0,6.3,3,0
5/25/2000,1.67,,0.4,0.5,1,0.7,0
5/26/2000,1.69,,0,0,2,0,0
5/27/2000,1.58,,0,0,0,0,14.1
5/28/2000,1.64,1.82,0,3,0,0.7,0
5/29/2000,1.49,1.96,2.5,0,3,0,0
5/30/2000,2,,0,0,2.7,0.4,0
5/31/2000,1.84,,0,9.5,0,0,36.5
6/1/2000,1.9,,0,0,0,0,0
6/2/2000,1.64,,0,1,0,0,8.9
6/3/2000,1.61,,0,5.6,0,0,0
6/4/2000,1.95,2.06,16.2,2.2,0,1.9,1.5
6/5/2000,1.72,,0,0,0,0,0
6/6/2000,1.48,,0,0,0,0.5,0
6/7/2000,1.9,1.98,0,9.9,11,10.9,1.1
6/8/2000,1.96,1.875,0,16.8,0,3.7,0
6/9/2000,1.76,,0,3.6,3,5,11.5
6/10/2000,,,2.9,0,0,0,17
6/11/2000,1.46,,0,0,0,0,0
6/12/2000,1.46,,0,0,0,0,4.7
6/13/2000,,1.7,0,0,1,0,0
6/14/2000,2,,3.2,4.5,1,0,1.7
6/15/2000,,2.06,1.5,0,1,1.5,21
6/16/2000,,1.81,1.2,2,0,0,27.5
6/17/2000,,2.14,0,0,0,0,12.5
6/18/2000,,2.44,2.4,4.3,0,4.8,0
6/19/2000,2.06,3.42,6.8,0,0,0,0
6/20/2000,,2.27,8.5,1.7,0,0,0
6/21/2000,,,22,0,0,0.4,1.6
6/22/2000,1.8,,0,2.5,0,2.2,0
6/23/2000,,2.93,0,0,14,12.9,0
6/24/2000,1.9,3.015,0,0,26,2.5,1.9
6/25/2000,,,0,4.7,0,20,0
6/26/2000,1.845,2.25,0,0,0,0,0
6/27/2000,1.64,,0,0,0,2.3,0
6/28/2000,1.63,,0,0,0,0,0
6/29/2000,2.88,2.25,0,0,0,0,0
6/30/2000,1.94,1.94,0,0,0,0,0
7/1/2000,,,0,0,0,0,0
7/2/2000,1.63,2.06,0,0,0,0,7.7
7/3/2000,,1.8,0,0,1.5,0,0
7/4/2000,,,0,0,0,2,10
7/5/2000,1.55,1.82,0.5,0,0,0,0
7/6/2000,1.48,,0.7,0,7.5,0,0
7/7/2000,1.62,,0,0,0,0,0
7/8/2000,1.38,,0,0,0,0,0
7/9/2000,,1.72,0,0,0,0,0
7/10/2000,,1.61,0,0,0,0,0
7/11/2000,,,0,0,0,0,0
7/12/2000,,,1.7,0,0,2.2,0
7/13/2000,2.12,,2.9,8.5,2,5.1,0
7/14/2000,1.6,,0,0,4.5,1.7,0
7/15/2000,1.4,1.93,0,0,6,0,0
7/16/2000,,,0,0,0,0,0
7/17/2000,,1.34,0,1.5,0,5.3,5.5
7/18/2000,,,0,0,1.5,35,0
7/19/2000,1.15,,13.4,9,4.5,5.8,0
7/20/2000,1.745,1.795,0,0,35.5,1.1,0
7/21/2000,1.64,,0,0,0,0,0
7/22/2000,,,0,0,1,0,0
7/23/2000,1.3,,0,0,0,0,0
7/24/2000,1.68,,0,0,0,1.2,0
7/25/2000,1.32,,0,0,1,0,0
7/26/2000,,,0.5,0,1,0,0
7/27/2000,,,0,0,0,0,0
7/28/2000,,,0,0,4,3.1,0
7/29/2000,,1.98,0,0,5,0,0
7/30/2000,,,3.6,0,0,0,0
7/31/2000,1.48,,3.4,66.5,0,7.2,5.9
8/1/2000,1.7,1.55,1.8,0,0,3.5,0
8/2/2000,1.79,,2.2,32,1,2.4,0
8/3/2000,1.2,1.62,4.7,22.2,2.7,10,7
8/4/2000,1.79,1.8,0,0,0,0.2,0
8/5/2000,1.37,2.06,13.7,1.6,0,0,0
8/6/2000,,,0,10.5,0,1.4,0
8/7/2000,1.46,,0,11,0,2.7,0
8/8/2000,,,0,0,0,0,0
8/9/2000,1.32,,0,0,0,1.7,0
8/10/2000,,,0,1.9,1,2.2,0
8/11/2000,,,0,0,0,0,0
8/12/2000,,,0,0,0,0,0
8/13/2000,1.21,,0,0,0,0,0
8/14/2000,,,0,0,0,0,0
8/15/2000,,,0,0,0,0,1.5
8/16/2000,1.09,,0,0,2,0,0
8/17/2000,,,0,0,0,0,0
8/18/2000,,1.4,0,0,0,0,0
8/19/2000,1.06,,0,0,0,0,0
8/20/2000,,,0,0,0,0,0
8/21/2000,,,0,0,0,0,0
8/22/2000,1.06,,0,0,0,0,0
8/23/2000,,,0,0,0,0,0
8/24/2000,,,0,0,1,0,0
8/25/2000,1.04,1.16,0,0,0,0,0
8/26/2000,,1.4,0,0,0,0,0
8/27/2000,1.06,,0,0,1,0,0
8/28/2000,,1.02,0,0,1,0.7,0
8/29/2000,,1.32,0,0,0,0,0
8/30/2000,,,9.7,4.8,1.5,6.7,0
8/31/2000,1.15,1.25,0,0,0.5,0,18.5
9/1/2000,1.24,,2.6,0,2,0,0
9/2/2000,1.13,,0,0,0,0,0
9/3/2000,1.03,1.33,2.3,2.5,10,5.3,20
9/4/2000,1.12,1.92,25,7.3,17.5,9,8
9/5/2000,1.54,1.755,0,23.7,4.2,7,0
9/6/2000,,,2.2,14,39.3,3.7,4.3
9/7/2000,1.37,,14.4,0,3,7,0
9/8/2000,,,0,7.3,5.8,16.2,0
9/9/2000,,1.25,10.5,17,19,43.6,17.5
9/10/2000,1.785,1.88,0,1.7,2.7,12.5,0
9/11/2000,1.59,,0,0,0,0,0
9/12/2000,,1.9,10,0,0,0,17.6
9/13/2000,2.12,1.53,0,0,0,0,17.4
9/14/2000,1.46,,0,0,0,0,0
9/15/2000,,,3.7,0,0,0,0
9/16/2000,1.36,1.74,0,5,2.7,0,0
9/17/2000,1.13,,0,1.6,0,1.2,0
9/18/2000,1.16,,0,0,1,0.4,1.8
9/19/2000,1.1,,0,0,1,0,0
9/20/2000,,2.2,1.2,0,1,0,0
9/21/2000,1.2,1.5,2.4,28,3,7.1,40.5
9/22/2000,1.49,1.92,3,5,7.3,4.5,0
9/23/2000,2.28,1.9,0,3.5,34.5,20.7,2.5
9/24/2000,2.49,,11,2.2,3,10.7,0
9/25/2000,1.83,,0,1,2.7,0,17.5
9/26/2000,2.1,,0,2.7,2,7.2,0
9/27/2000,1.75,2.84,0,3,0,9,6.7
9/28/2000,1.8,2.22,0,2.5,1,14.2,1
9/29/2000,,2.58,5.9,15.8,8,18.1,0
9/30/2000,2.01,2.04,0,30,6,4.5,1.5
10/1/2000,2,2.02,0,10,0,5,0
10/2/2000,2.1,,0,4.5,14,8.3,38.7
10/3/2000,,,0,1.5,18.6,17.5,0
10/4/2000,1.95,,0,3,0,0,0
10/5/2000,,,0,0,0,0,0
10/6/2000,1.78,1.9,0,0,0,0,0
10/7/2000,1.54,,0,0,1.5,0,13.8
10/8/2000,1.52,2.54,0,0,0,0,0
10/9/2000,1.54,,0,0,0,0,0
10/10/2000,1.49,1.95,0,0,0,0,0
10/11/2000,1.32,1.46,0,0,0,0,0
10/12/2000,1.29,1.66,0,0,0,0,0
10/13/2000,1.25,1.36,0,0,0,0,0
10/14/2000,1.34,,0,0,0,0,0
10/15/2000,1.25,1.42,0,0,0,0,0
10/16/2000,1.2,1.46,0,0,0,0,0
10/17/2000,1.14,,0,0,0,0,0
10/18/2000,1.17,,0,0,0,0,0
10/19/2000,1.15,,0,0,0,0,0
10/20/2000,1.12,1.7,0,30,0,1.4,10
10/21/2000,1.225,1.92,3.7,16,8,21.5,2.7
10/22/2000,1.55,,58.5,19,18,33.2,9.9
10/23/2000,2.45,,6.5,6.3,7.4,8.2,0
10/24/2000,1.83,,6.5,1,12,35.7,5
10/25/2000,3,2.48,9.3,2.5,3.5,8.6,0
10/26/2000,2.68,1.9,23.7,1.5,8.3,7.4,0
10/27/2000,2.4,,0,0,2,1.2,0
10/28/2000,2.71,,3.2,0,0,2,0
10/29/2000,2.38,2.1,0,50,10,4.5,14.3
10/30/2000,3,2.76,2.9,0,7.7,12.2,7.3
10/31/2000,1.9,2.2,0,0,27.5,26.9,4.7
11/1/2000,3.35,,0,0,1.7,3.4,0
11/2/2000,2.39,,0,0,15,2.5,0
11/3/2000,2.95,,0,0,0,0,0
11/4/2000,2.39,2.095,0,1.2,10,0,0
11/5/2000,1.74,1.94,0,0,0,0.6,0
11/6/2000,1.85,1.805,0,0,3,8,0
11/7/2000,1.69,1.63,0,0,37.5,4.4,0
11/8/2000,1.68,1.5,1.5,12,7.5,6.1,0
11/9/2000,1.63,1.41,0,0,1,0,0
11/10/2000,1.65,1.41,0,12.5,0,5,0
11/11/2000,1.58,1.385,1.4,0,0,3,0
11/12/2000,1.64,1.38,1.1,0,4,1.1,0
11/13/2000,1.94,1.375,0,2,2.5,1.6,0
11/14/2000,1.56,1.315,0,0,0,0,0
11/15/2000,1.59,1.295,0,0,0,0,0
11/16/2000,1.64,1.27,1.9,20.5,1,10.9,13.5
11/17/2000,1.66,1.245,66.6,10.5,7,12.4,0
11/18/2000,1.905,2.43,2.2,2.4,0,0.9,23.5
11/19/2000,1.98,2.525,3.2,27.5,12,10,0
11/20/2000,1.9,1.92,3.7,81.5,0,0.5,0
11/21/2000,1.67,1.845,0,5.9,0,0,0
11/22/2000,1.93,1.78,0,0,0,0.4,0
11/23/2000,1.645,1.72,0,0,0,0,0
11/24/2000,1.6,1.615,0,0,0,0,0
11/25/2000,1.59,1.485,0,0,0,0,3.5
11/26/2000,1.435,1.45,0,11.2,0,0,0
11/27/2000,1.68,1.315,0,10.2,0,0,0
11/28/2000,1.6,1.35,0,0.4,0,0.3,0
11/29/2000,1.77,2.37,0,0,0,0,0
11/30/2000,1.59,1.68,0,0,0,0,0
12/1/2000,1.25,1.485,0,0,0,0,0
12/2/2000,1.22,1.375,0,0,0,0,0
12/3/2000,1.3,1.3,32.6,0,0,0.3,0
12/4/2000,1.29,1.605,0,1.5,0,0,4
12/5/2000,1.55,1.625,0,0,0,0,0
12/6/2000,1.29,1.37,2.1,6.5,0,0.3,0
12/7/2000,1.31,1.29,30,0,0,0,0
12/8/2000,1.37,1.25,0,0,0,0,0
12/9/2000,,1.23,0,0,0,0,0
12/10/2000,1.35,1.2,0,0,0,0.4,0
12/11/2000,1.27,1.845,1.1,0,6.5,1.2,4.7
12/12/2000,1.37,1.28,1.3,0,0,0,0
12/13/2000,1.3,1.27,1.8,22.2,0,0,0
12/14/2000,,1.215,0,0,8,18.8,0
12/15/2000,2.11,1.17,0,0,0,0,0
12/16/2000,1.34,1.135,0,0,0,0,0
12/17/2000,,1.1,0,0,1,0,0
12/18/2000,,1.1,3,0,2,0.4,0
12/19/2000,1.3,1.1,5,11,16,16,28
12/20/2000,1.38,1.265,0,0,8.7,0,0
12/21/2000,1.33,1.26,0,0,0,0.5,0
12/22/2000,,1.225,0,0,0,0,0
12/23/2000,,1.17,0,0,0,0,44.5
12/24/2000,,1.11,0,0,0,0,0
12/25/2000,,1.125,0,0,0,0,0
12/26/2000,1.23,1.125,0,0,0,0,21.7
12/27/2000,,1.1,5.2,15.6,2,3.7,0
12/28/2000,2.4,1.075,12.3,23.1,1.5,1.9,8.8
12/29/2000,2.52,1.735,1.8,0,26,0,0
12/30/2000,2.21,1.855,0,0,0,0,0
12/31/2000,1.57,1.705,0,0,0,0,0
1/1/2001,,2.05,0,0,0,0,0
1/2/2001,,1.675,0,0,0,0,0
1/3/2001,,1.525,0,0,0,0,0
1/4/2001,1.24,1.345,0,0,0,27,0
1/5/2001,1.68,1.27,5.2,0,0,2.3,0
1/6/2001,1.41,1.26,0,8,0,0,0
1/7/2001,,1.245,0,0,0,0,0
1/8/2001,,1.265,9.7,18,0,0.5,40
1/9/2001,,1.3,0,21.6,3,0,9
1/10/2001,1.635,1.285,0,8.3,7.5,24.8,0
1/11/2001,1.67,1.32,0,19,31.1,12.6,1
1/12/2001,2.09,1.29,0,0,1.5,1,0
1/13/2001,2.32,1.3,0,3,0,0.5,5.2
1/14/2001,2.14,1.3,0,0,0,0,0
1/15/2001,1.7,1.295,0,0,0,0,1.7
1/16/2001,1.6,1.6,0,38,0,21.5,0
1/17/2001,2.84,1.695,0,0,4,2.4,3.5
1/18/2001,1.74,1.73,0,0,0,0,22.9
1/19/2001,1.64,1.805,0,8.4,0,0,16
1/20/2001,2.26,2.075,0,3.6,3,11.2,14
1/21/2001,1.84,1.72,0,2.2,0,1,0
1/22/2001,2.21,1.67,35.2,10.5,3.5,10,0
1/23/2001,,1.645,0,41.5,6.5,0.9,0
1/24/2001,,1.72,0,1.4,0,0,0
1/25/2001,,1.67,0,0,0,0,0
1/26/2001,1.64,1.515,0,0,0,0,1.7
1/27/2001,,1.31,0,0,0,0,0
1/28/2001,,1.285,0,0,0,8.1,0
1/29/2001,1.42,1.275,0,0,0,0,0
1/30/2001,,1.26,2.8,1,0,0,0
1/31/2001,,1.265,0,0,6.5,0,0
2/1/2001,,1.265,9.8,17.5,36.5,0,15
2/2/2001,1.7,1.25,4.9,0,4.5,0,2.7
2/3/2001,1.515,1.25,1.8,0,4,0,0
2/4/2001,,1.255,0,5.5,0,0,0
2/5/2001,1.92,1.255,0,0,0,0.5,0
2/6/2001,,1.2,0,0,0,0,0
2/7/2001,,1.195,0,0,0,0,0
2/8/2001,,1.18,0,0,0,0,0
2/9/2001,,1.16,0,0,0,0,0
2/10/2001,,1.075,0,0,0,0,0
2/11/2001,1.2,1,0,0,0,0,0
2/12/2001,,1,0,0,0,0,0
2/13/2001,,1,0,0,0,0,0
2/14/2001,,1,0,0,0,0,0
2/15/2001,,1.06,0,0,0,0,0
2/16/2001,,1.025,0,0,0,0,0
2/17/2001,,1,0,0,0,0,0
2/18/2001,,1,0,42,1,2.3,0
2/19/2001,,1.155,0,0,0,1.3,0
2/20/2001,1.09,1.02,22.7,0,1,2.8,0
2/21/2001,1.08,1,0,0,5,0.7,0
2/22/2001,1.34,1.14,0,0,1,27.7,0
2/23/2001,,1.09,0,9,5,0.3,0
2/24/2001,1.08,1.07,0,0,5,30.4,0
2/25/2001,1.8,1.01,0,41.5,40,11,0
2/26/2001,1.23,1.335,4.6,3.5,4,17,0
2/27/2001,1.54,1.39,0,0,3,0.4,0
2/28/2001,1.34,1.235,0,42.6,12,29.5,13
3/1/2001,2.06,1.645,40,13.5,2.5,5,50
3/2/2001,1.895,1.73,3.9,48.6,0,5.1,2.8
3/3/2001,2.96,1.77,0,0,0,10.1,0
3/4/2001,,1.83,0,4.5,1,10,0
3/5/2001,1.82,2.295,0,34.5,12,17.9,0
3/6/2001,1.77,1.96,2.5,0,2,0,0
3/7/2001,1.7,2.625,0,25.6,5.5,0,0
3/8/2001,1.88,1.87,0,0,0,0,0
3/9/2001,1.98,1.795,1.7,5.3,3,2.2,19
3/10/2001,,2.015,4.5,22.6,0,10,0
3/11/2001,,1.925,17.6,24,0,0,9
3/12/2001,2.16,1.85,0,0,2.5,0,0
3/13/2001,2.09,1.755,0,2,3,0,19
3/14/2001,2.16,1.725,4.6,0,0,0,0
3/15/2001,1.76,1.605,0,0,8.5,1,1.7
3/16/2001,2.14,2.075,0,0,2,0.5,0
3/17/2001,,1.785,4.5,0,12,10,9.8
3/18/2001,1.925,1.79,5.1,2.9,10,8.3,6.4
3/19/2001,2.26,2.54,0,0,4,3,13
3/20/2001,1.99,1.935,36.6,116,12,2.5,52
3/21/2001,3.2,2.895,7.5,23.2,3,12.5,0
3/22/2001,2.33,2.67,32.5,15.7,15,10.6,13.4
3/23/2001,2.52,2.37,0,0,0,0,0
3/24/2001,2.01,2.62,0,0,0,0,0
3/25/2001,2.21,1.915,0,0,0,0,0
3/26/2001,1.94,2.025,0,4.3,0,0,2.1
3/27/2001,,1.555,0,0,3.5,11,0
3/28/2001,2.02,1.725,0,0,0,1.6,1.7
3/29/2001,2.22,2.86,1.5,0,0,0,0
3/30/2001,1.52,1.785,0,0,0,0,0
3/31/2001,1.64,1.95,0,3.1,0,0,0
4/1/2001,1.46,1.625,0,0,0,4.2,0
4/2/2001,1.6,1.445,5.9,2.8,0.1,2.5,0
4/3/2001,1.44,1.375,0,0,0,0,0
4/4/2001,1.49,1.335,0,0,9,0,0
4/5/2001,1.45,1.41,0,0,0,0,0
4/6/2001,,1.435,0.8,0,0,0,0
4/7/2001,,1.37,0,0,0,0,0
4/8/2001,1.36,1.32,0,0,0,0,0
4/9/2001,1.6,1.295,0,0,0,0,28
4/10/2001,2.08,2.325,4.2,3.5,0.1,80.4,0
4/11/2001,1.58,1.905,0,0,0,0,0
4/12/2001,1.55,1.835,0,0,0,7.4,0
4/13/2001,1.69,1.93,0,0,1,0,5.5
4/14/2001,1.51,1.67,0,0,0,0,0
4/15/2001,1.475,1.535,6.7,5.7,0,1.6,0
4/16/2001,1.54,1.51,0,0,0,0,0
4/17/2001,1.49,1.495,0,0,0,0,0
4/18/2001,1.5,1.425,0,1.7,0,0,0
4/19/2001,1.49,1.34,0,0,1.5,0,4.3
4/20/2001,2,1.285,27,4.3,0,0,0
4/21/2001,1.48,1.32,0,1.5,0,0,0
4/22/2001,1.47,1.295,3.8,5.8,18.5,0.4,0
4/23/2001,1.57,1.28,0,0,0,0,0
4/24/2001,1.485,1.275,0,2.3,0,0,0
4/25/2001,1.43,1.26,0,0,0,0,0
4/26/2001,1.35,1.285,0,0,0,0,0
4/27/2001,1.37,1.28,3.6,7.5,0,0,0
4/28/2001,1.38,1.275,0,0,0,0,0
4/29/2001,1.18,1.225,0,0,0,0,0
4/30/2001,1.17,1.435,0,5.5,0,0,0
5/1/2001,1.24,1.32,0,0,2,25.2,14
5/2/2001,1.32,1.3,7.2,11.5,5.5,8.3,18
5/3/2001,1.71,1.725,0,0,0,0,0
5/4/2001,1.84,2.46,0,0,2,0,1.5
5/5/2001,1.73,2.12,0,5,0,0,0
5/6/2001,1.46,1.97,4.2,25,8.5,1.7,9.2
5/7/2001,1.87,1.87,3.6,34.5,3.5,3.1,0
5/8/2001,1.66,1.645,37.7,3.9,25.5,43,17
5/9/2001,2.54,2.42,0,0,6.5,9.5,1.5
5/10/2001,2.79,2.37,0,0,0,0,0
5/11/2001,2.2,2.4,0,0,0,0,0
5/12/2001,1.86,2.07,0,0,0,0,0
5/13/2001,1.79,1.96,0,0,0,0,0
5/14/2001,1.55,2.15,0,2.5,0,0,0
5/15/2001,1.68,1.97,0,0,2.3,0,0
5/16/2001,1.56,1.9,0,0,12,0,0
5/17/2001,1.62,1.835,2.5,0,0,0,0
5/18/2001,1.61,1.76,0,0,0,0,0
5/19/2001,1.54,1.57,0,0,0,0,0
5/20/2001,1.58,1.485,2.2,1,0,0,0
5/21/2001,1.42,1.775,3.4,4.2,2.5,0,22
5/22/2001,1.46,2.47,22.5,19,0,0,3.7
5/23/2001,2.19,1.99,23.5,26.2,6,19.7,14
5/24/2001,2,1.985,5.6,1.5,6.5,5,0
5/25/2001,1.68,1.9,12.7,0,15,0,0
5/26/2001,2.09,1.92,23,15.5,25,21.5,25
5/27/2001,1.98,2.22,12.5,11.5,0,0,35.4
5/28/2001,1.99,3.13,0,0,0,2,0
5/29/2001,1.78,1.945,0,0,1,0,0
5/30/2001,1.57,,0,0,0,0,0
5/31/2001,1.57,,0,0,0,0,0
6/1/2001,1.59,,11.1,29.6,14.5,46.5,33
6/2/2001,3,2.37,13,19,10,21,7
6/3/2001,2.6,,0,0,0,0,0
6/4/2001,1.89,,0,0,0,0,0
6/5/2001,2.18,2.16,0,10,0,0,34.5
6/6/2001,2.06,1.92,2.3,9.4,1,0,0
6/7/2001,1.97,1.8,0,0,0,0,18
6/8/2001,1.71,,0,0,0,0,0
6/9/2001,1.51,,0,0,1,0,0
6/10/2001,1.41,1.62,0,1.5,1,0,0
6/11/2001,1.62,,0,17.6,0,0,0
6/12/2001,1.52,,1.6,0,7.8,11.5,0
6/13/2001,1.62,,0,4,0,0,0
6/14/2001,,,0,2,0,0,0
6/15/2001,1.35,,0,0,0,0,12.5
6/16/2001,,1.52,7.2,43.5,0,0,40.5
6/17/2001,2.28,2.19,0,13.5,0,0,11
6/18/2001,1.48,,0,0,0,0,0
6/19/2001,1.38,,0,0,0,0,0
6/20/2001,1.31,,2.2,0,0,0,0
6/21/2001,1.76,,0,0,2,0,0
6/22/2001,,,0,0,0,0,0
6/23/2001,1.21,,0,0,0,0,0
6/24/2001,,1.275,0,0,0,0,0
6/25/2001,,1.275,0,0,1,0,0
