DATE,ARRANCAPLUMAS,PUERTOSALGAR,PUERTOINMARCO,PUERTOBERRIO,BARRANCABERMEJA,PUERTOWILCHES,SANPABLO,GAMARRA,ELBANCO,MAGANGUEESPERANZA,PLATO,CALAMAR
04/02/2000,3.640792591,3.988,4.429422562,4.409933779,4.832982343,4.288004401,4.275402044,4.346133266,4.143066759,4.191742182,4.089264031,4.046679622
05/02/2000,7.208620155,7.443,7.559242601,7.426165465,6.891330568,6.077891219,6.031267781,6.009032166,4.98919432,4.219447105,4.120209657,4.097577028
06/02/2000,1.294349977,1.257,1.570654986,1.588089173,1.769044004,1.527887264,1.491117692,1.367792423,1.095628175,1.00719397,0.966979543,0.953983356
07/02/2000,0.542735838,0.579,1.222748504,1.290154522,1.473361178,1.354949027,1.350376379,1.241921561,0.996180264,0.807493329,0.775225502,0.764806485
08/02/2000,1.968214154,2.143,2.288379622,2.253116155,2.079618774,1.699998452,1.644926371,1.512574082,1.208212184,1.116854453,1.072210748,1.057800256
09/02/2000,5.219671871,5.063,4.235119365,4.124910668,3.592450699,3.133135157,3.04378745,2.897837687,2.418349181,2.291256074,2.202200042,2.172615397
10/02/2000,4.488900564,4.401,3.728070671,3.673012749,3.272909006,2.837938819,2.767659915,2.553426966,2.042506821,1.728360569,1.659639726,1.637579461
11/02/2000,2.356201834,2.371,2.194888124,2.142759541,1.928615121,1.639672923,1.593395803,1.519464812,1.291474683,1.531406066,1.471153385,1.45138111
12/02/2000,2.161019184,2.101,1.824269254,1.78504507,1.611515226,1.545826614,1.498215927,1.40055802,1.125541056,1.336171206,1.283761853,1.267900918
13/02/2000,0.573163369,0.554,0.486594219,0.473941592,0.426832382,0.505024135,0.48953277,0.464996817,0.37988493,0.430512237,0.41336817,0.407812509
14/02/2000,3.343640133,3.236,2.712246899,2.639746797,2.237497926,1.871063031,1.805761844,1.654839301,1.327459277,1.220337152,1.174277149,1.162388317
15/02/2000,3.074681773,3.76,5.16054305,5.142989523,4.978638506,4.544659164,4.389216948,4.026226485,3.232255117,3.246829072,3.117717971,3.076015191
16/02/2000,9.98196042,9.931,10.39975109,10.30102445,10.0807441,9.135006977,8.948513901,8.407478905,6.802797045,7.335692357,7.053821235,6.960714723
17/02/2000,8.313726463,8.496,8.474947331,8.315797618,7.407709186,6.564027387,6.376039725,5.982337294,5.352823834,5.68070564,5.698095754,5.652656463
18/02/2000,7.715926526,7.956,7.346236933,7.164404192,6.174376233,5.636539261,5.444447012,5.012542796,4.090884721,3.552364277,3.429638825,3.385090636
19/02/2000,3.394287949,3.402,5.104994822,5.389274789,5.748231949,5.195099098,5.083393914,4.717359035,3.851539567,4.574488518,4.39796844,4.338961659
20/02/2000,6.782205118,6.941,7.535360568,7.466730648,7.284104414,7.328033656,7.118998793,6.783485061,5.718694187,5.802518445,5.611156975,5.540358273
21/02/2000,12.85832612,12.684,11.17177149,10.93308166,9.602741407,8.843387145,8.631961843,8.355342654,6.983383306,6.83539814,6.65359727,6.595532771
22/02/2000,10.4632421,10.973,11.76875146,11.65449322,11.19230402,10.78540158,10.55767903,10.16774997,8.306278158,7.89265145,7.633255728,7.534532001
